Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,356.4952698503,372.8265439791,406.9865789981,471.5243185729,557.2210233769,669.3966858099,878.5373712092,1094.0046211447,1263.4269449171,1197.7676140281,1439.5670910104,1617.5973842951,1685.4155818398
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (developing only),SSA,542.6004597149,490.6140871764,511.0213580088,636.9874446794,769.9667708917,878.1101846055,999.6391688953,1133.0639999682,1254.4099098323,1171.900548967,1528.4250045688,1669.7531198337,1703.7551628441
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,558.2211439778,456.7034891685,383.3494997487,396.1299689813,465.119886944,546.7768501856,642.9604146441,830.4076942043,1023.119641107,1181.8473596007,1377.0821404694,1544.8277727352,1719.0361962416
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (all income levels),SSF,544.606805938,493.2246482456,514.1354544238,640.8510814361,776.3948296224,889.40410992,1010.4538848596,1146.1242931048,1273.3227065785,1183.0486785384,1541.6924770136,1687.2733814058,1721.6720916685
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,815.488925017,748.8787501919,842.1898386144,1031.7899310084,1149.3761226097,1173.3380465819,1138.3072669098,1316.9568810759,1424.0647703916,1320.4915544106,1539.1046267482,1735.6199259087,1736.1963191122
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1001.2564414051,1028.2925396664,995.3579832293,1000.8574181287,1075.9833801735,1158.7663951107,1228.3048474346,1332.8673717798,1498.1323564314,1459.2115263462,1501.3739875474,1652.0539476426,1745.7953132063
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,433.3337076797,448.8822797783,477.1058762631,530.861849365,606.904378262,699.4997789764,796.6715737745,919.2092655681,1164.6125246171,1232.3696711883,1333.5835263548,1543.0269503302,1755.2654235751
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,356.4635865218,395.1348357211,394.6996223516,449.9390668169,556.7162919426,726.403488196,1082.7770341852,1160.8091728944,1437.8693706444,1195.1894934178,1533.2961416236,1740.6543636342,1771.8748570588
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,1055.2103564045,945.5423217147,785.6490434369,745.4855802864,819.3262832922,881.9647785153,950.0003847202,1048.6159223643,1208.0298357026,1160.7845806582,1275.6939095101,1647.7845114719,1865.2263733832
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,570.036190987,567.0070229422,598.4350393031,674.0878746199,758.1762914684,858.7262712466,1002.9457073993,1216.1008065837,1332.8390878461,1350.7178697287,1686.0635503503,1857.2152113338,1903.7121312483
